Category,Section,Standard Ref,Assessment Question,Compliance,Notes,Owner,Priority
Mandatory Clauses,4 - Context of the organization,4.1,"Has the organisation addressed the AIMS requirement for understanding the organisation and its context, with documented evidence available for review?",Fully Compliant,,M. Karim,
Mandatory Clauses,4 - Context of the organization,4.2,"Has the organisation addressed the AIMS requirement for understanding the needs and expectations of interested parties, with documented evidence available for review?",Partially Compliant,Understanding the needs and expectations of interested parties is partly in place but lacks consistent evidence or full documentation.,A. Rahman,High
Mandatory Clauses,4 - Context of the organization,4.3,"Has the organisation addressed the AIMS requirement for determining the scope of the AI management system, with documented evidence available for review?",Not Compliant,Gap identified during review — determining the scope of the AI management system not yet formally established. Remediation plan required.,S. Chowdhury,Medium
Mandatory Clauses,4 - Context of the organization,4.4,"Has the organisation addressed the AIMS requirement for AI management system, with documented evidence available for review?",Not Compliant,Gap identified during review — AI management system not yet formally established. Remediation plan required.,A. Rahman,Low
Mandatory Clauses,5 - Leadership,5.1,"Has the organisation addressed the AIMS requirement for leadership and commitment, with documented evidence available for review?",Fully Compliant,,A. Rahman,
Mandatory Clauses,5 - Leadership,5.2,"Has the organisation addressed the AIMS requirement for AI policy, with documented evidence available for review?",Fully Compliant,,N. Islam,
Mandatory Clauses,5 - Leadership,5.3,"Has the organisation addressed the AIMS requirement for roles, responsibilities and authorities, with documented evidence available for review?",Partially Compliant,"Roles, responsibilities and authorities is partly in place but lacks consistent evidence or full documentation.",S. Chowdhury,High
Mandatory Clauses,6 - Planning,6.1.1,"Has the organisation addressed the AIMS requirement for actions to address risks and opportunities, general, with documented evidence available for review?",Fully Compliant,,N. Islam,
Mandatory Clauses,6 - Planning,6.1.2,"Has the organisation addressed the AIMS requirement for AI risk assessment process, with documented evidence available for review?",Fully Compliant,,S. Chowdhury,
Mandatory Clauses,6 - Planning,6.1.3,"Has the organisation addressed the AIMS requirement for AI risk treatment process, with documented evidence available for review?",Fully Compliant,,A. Rahman,
Mandatory Clauses,6 - Planning,6.1.4,"Has the organisation addressed the AIMS requirement for AI system impact assessment process, with documented evidence available for review?",Not Compliant,Gap identified during review — AI system impact assessment process not yet formally established. Remediation plan required.,N. Islam,High
Mandatory Clauses,6 - Planning,6.2,"Has the organisation addressed the AIMS requirement for AI objectives and planning to achieve them, with documented evidence available for review?",Fully Compliant,,A. Rahman,
Mandatory Clauses,6 - Planning,6.3,"Has the organisation addressed the AIMS requirement for planning of changes to the AIMS, with documented evidence available for review?",Not Compliant,Gap identified during review — planning of changes to the AIMS not yet formally established. Remediation plan required.,M. Karim,Medium
Mandatory Clauses,7 - Support,7.1,"Has the organisation addressed the AIMS requirement for resources, with documented evidence available for review?",Partially Compliant,Resources is partly in place but lacks consistent evidence or full documentation.,M. Karim,Low
Mandatory Clauses,7 - Support,7.2,"Has the organisation addressed the AIMS requirement for competence, with documented evidence available for review?",Fully Compliant,,AI Governance Team,
Mandatory Clauses,7 - Support,7.3,"Has the organisation addressed the AIMS requirement for awareness, with documented evidence available for review?",Not Compliant,Gap identified during review — awareness not yet formally established. Remediation plan required.,M. Karim,High
Mandatory Clauses,7 - Support,7.4,"Has the organisation addressed the AIMS requirement for communication, with documented evidence available for review?",Not Compliant,Gap identified during review — communication not yet formally established. Remediation plan required.,T. Ahmed,Medium
Mandatory Clauses,7 - Support,7.5.1,"Has the organisation addressed the AIMS requirement for documented information, general, with documented evidence available for review?",Fully Compliant,,S. Chowdhury,
Mandatory Clauses,7 - Support,7.5.2,"Has the organisation addressed the AIMS requirement for creating and updating documented information, with documented evidence available for review?",Not Compliant,Gap identified during review — creating and updating documented information not yet formally established. Remediation plan required.,A. Rahman,Low
Mandatory Clauses,7 - Support,7.5.3,"Has the organisation addressed the AIMS requirement for control of documented information, with documented evidence available for review?",Fully Compliant,,R. Hasan,
Mandatory Clauses,8 - Operation,8.1,"Has the organisation addressed the AIMS requirement for operational planning and control, with documented evidence available for review?",Not Compliant,Gap identified during review — operational planning and control not yet formally established. Remediation plan required.,N. Islam,Medium
Mandatory Clauses,8 - Operation,8.2,"Has the organisation addressed the AIMS requirement for AI risk assessment (operational), with documented evidence available for review?",Partially Compliant,AI risk assessment (operational) is partly in place but lacks consistent evidence or full documentation.,R. Hasan,Medium
Mandatory Clauses,8 - Operation,8.3,"Has the organisation addressed the AIMS requirement for AI risk treatment (operational), with documented evidence available for review?",Fully Compliant,,T. Ahmed,
Mandatory Clauses,8 - Operation,8.4,"Has the organisation addressed the AIMS requirement for AI system impact assessment (performed), with documented evidence available for review?",Fully Compliant,,T. Ahmed,
Mandatory Clauses,9 - Performance evaluation,9.1,"Has the organisation addressed the AIMS requirement for monitoring, measurement, analysis and evaluation, with documented evidence available for review?",Fully Compliant,,AI Governance Team,
Mandatory Clauses,9 - Performance evaluation,9.2.1,"Has the organisation addressed the AIMS requirement for internal audit, general, with documented evidence available for review?",Not Compliant,"Gap identified during review — internal audit, general not yet formally established. Remediation plan required.",R. Hasan,Medium
Mandatory Clauses,9 - Performance evaluation,9.2.2,"Has the organisation addressed the AIMS requirement for internal audit programme, with documented evidence available for review?",Partially Compliant,Internal audit programme is partly in place but lacks consistent evidence or full documentation.,AI Governance Team,Low
Mandatory Clauses,9 - Performance evaluation,9.3.1,"Has the organisation addressed the AIMS requirement for management review, general, with documented evidence available for review?",Fully Compliant,,S. Chowdhury,
Mandatory Clauses,9 - Performance evaluation,9.3.2,"Has the organisation addressed the AIMS requirement for management review inputs, with documented evidence available for review?",Not Compliant,Gap identified during review — management review inputs not yet formally established. Remediation plan required.,N. Islam,High
Mandatory Clauses,9 - Performance evaluation,9.3.3,"Has the organisation addressed the AIMS requirement for management review results, with documented evidence available for review?",Fully Compliant,,M. Karim,
Mandatory Clauses,10 - Improvement,10.1,"Has the organisation addressed the AIMS requirement for continual improvement, with documented evidence available for review?",Partially Compliant,Continual improvement is partly in place but lacks consistent evidence or full documentation.,N. Islam,High
Mandatory Clauses,10 - Improvement,10.2,"Has the organisation addressed the AIMS requirement for nonconformity and corrective action, with documented evidence available for review?",Fully Compliant,,GRC Office,
Annex A Controls,A.2 - Policies related to AI,A.2.2,"Has the organisation implemented, documented and evidenced its approach to AI policy?",Fully Compliant,,GRC Office,
Annex A Controls,A.2 - Policies related to AI,A.2.3,"Has the organisation implemented, documented and evidenced its approach to alignment with other organisational policies?",Not Applicable,,R. Hasan,
Annex A Controls,A.2 - Policies related to AI,A.2.4,"Has the organisation implemented, documented and evidenced its approach to review of the AI policy?",Not Compliant,Control gap — review of the AI policy has not been implemented; risk accepted temporarily pending remediation.,R. Hasan,High
Annex A Controls,A.3 - Internal organization,A.3.2,"Has the organisation implemented, documented and evidenced its approach to AI roles and responsibilities?",Fully Compliant,,AI Governance Team,
Annex A Controls,A.3 - Internal organization,A.3.3,"Has the organisation implemented, documented and evidenced its approach to reporting of concerns?",Partially Compliant,Reporting of concerns is partially implemented; coverage or evidence is incomplete.,S. Chowdhury,High
Annex A Controls,A.4 - Resources for AI systems,A.4.2,"Has the organisation implemented, documented and evidenced its approach to resource documentation?",Fully Compliant,,R. Hasan,
Annex A Controls,A.4 - Resources for AI systems,A.4.3,"Has the organisation implemented, documented and evidenced its approach to data resources?",Fully Compliant,,N. Islam,
Annex A Controls,A.4 - Resources for AI systems,A.4.4,"Has the organisation implemented, documented and evidenced its approach to tooling resources?",Partially Compliant,Tooling resources is partially implemented; coverage or evidence is incomplete.,A. Rahman,Medium
